
//BoneHill Area Links Table
SRC_AREA  SRC_NWSE  TARGET_ARE  ENTRY_NAME  TRV_TIME  DEF_ENTRY  ENC1     ENC2     ENC3     ENC4     ENC5     ENC_PROB

BH0200    N         BH1100      Exit0200    1         1          BG5601   BG5701   BG6001   BG5801   BG6000   10
BH0200    W         BH0100      Exit0200    0         1          BG5701   BG6001   BG5801   BG6000   BG5601   10
BH1100    S         BH0200      Exit1100    1         1          BG6001   BG5801   BG6000   BG5601   BG5701   10
BH1100    W         BH1200      Exit1100    1         1          BG5801   BG6000   BG5601   BG5701   BG6001   10
BH1200    E         BH1100      Exit1200    1         1          BG6000   BG5601   BG5701   BG6001   BG5801   10
BH1200    S         BH0100      Exit1200    1         1          BG5601   BG5701   BG6001   BG5801   BG6000   10
BH1200    W         BH1300      Exit1200    2         1          BG5701   BG6001   BG5801   BG6000   BG5601   10
BH0100    N         BH1200      Exit0100    1         1          BG6001   BG5801   BG6000   BG5601   BG5701   10
BH0100    E         BH0200      Exit0100    0         1          BG5801   BG6000   BG5601   BG5701   BG6001   10
BH0100    W         BH0300      Exit0100    0         1          BG6000   BG5601   BG5701   BG6001   BG5801   10
BH0300    N         BH1300      Exit0300    2         4          BG5601   BG5701   BG6001   BG5801   BG6000   10
BH0300    E         BH0100      Exit0300    0         8          BG5701   BG6001   BG5801   BG6000   BG5601   10
BH0300    S         BH2000      Exit0300    6         1          BG6001   BG5801   BG6000   BG5601   BG5701   40
BH1300    N         BH1400      Exit1300    1         1          BG5801   BG6000   BG5601   BG5701   BG6001   10
BH1300    W         BH1400      Exit1300    1         1          BG5801   BG6000   BG5601   BG5701   BG6001   10
BH1300    E         BH1200      Exit1300    2         1          BG6000   BG5601   BG5701   BG6001   BG5801   10
BH1300    S         BH0300      Exit1300    2         1          BG5601   BG5701   BG6001   BG5801   BG6000   10
BH1300    W         BH1000      Exit1300    2         1          BG5701   BG6001   BG5801   BG6000   BG5601   10
BH1400    E         BH1300      Exit1400    1         1          BG6001   BG5801   BG6000   BG5601   BG5701   10
BH1400    S         BH1000      Exit1400    1         1          BG5801   BG6000   BG5601   BG5701   BG6001   10
BH1000    N         BH1400      Exit1000    1         1          BG6000   BG5601   BG5701   BG6001   BG5801   10
BH1000    N         BH1300      Exit1000    2         1          BG5601   BG5701   BG6001   BG5801   BG6000   10
BH2000    N         BH0300      Exit2000    6         1          BG5701   BG5601   BG6000   BG5801   BG6000   30
BH2000    N         BH2200      Exit2000    3         1          BG5601   BG5701   BG6001   BG5801   BG6000   25
BH2000    N         BH2100      Exit2000    0         1          BG6001   BG5801   BG6000   BG5601   BG5701   10
BH2000    W         BH2300      Exit2000    2         1          BG5701   BG5601   BG6000   BG5801   BG6000   25
BH2200    S         BH2000      Exit2200    3         1          BG5701   BG5601   BG6000   BG5801   BG6000   25
BH2300    E         BH2000      Exit2300    2         1          BG5701   BG5601   BG6000   BG5801   BG6000   30
BH2100    S         BH2000      Exit2100    0         1          BG6000   BG5601   BG5701   BG6001   BG5801   10
